Tilenum, RMS
25977, 0.2610
30271, 0.5676
25961, 0.1819
1412, 0.7496
1413, 0.3125
1414, 0.8699
1415, 0.3800
16414, 0.3799
9612, 0.2724
9613, 0.5952
1422, 0.8657
1423, 0.3846
1424, 0.3040
1425, 0.3560
1426, 0.3558
1427, 0.2937
1428, 0.3112
1429, 0.3126
1430, 0.2774
1431, 0.3001
1432, 0.3087
1433, 0.3185
1434, 0.3292
1435, 0.2781
1436, 0.2982
1437, 0.3251
1438, 0.3261
1439, 0.4561
1441, 2.0757
1443, 2.2862
1444, 0.7047
1445, 0.3821
1446, 0.7266
1447, 0.3199
1449, 0.9923
9642, 0.1502
9643, 0.3669
1452, 0.4125
1453, 0.3488
1454, 0.3765
1455, 0.2982
1456, 0.3287
1457, 0.3078
1458, 0.3337
1459, 0.3119
1460, 0.3080
1461, 0.6622
1462, 0.3257
1463, 0.8632
1464, 0.2718
1465, 0.3147
1466, 0.2777
1467, 0.2952
1468, 0.3748
1469, 1.1724
1470, 0.7236
1471, 1.7909
9664, 0.4396
1473, 1.3118
1474, 0.6929
26187, 0.5836
26052, 0.1750
24822, 0.1885
1480, 1.1800
1612, 0.5764
1482, 1.3684
28919, 0.0889
9805, 0.2355
35747, 0.3925
17999, 2.4972
42460, 0.1164
42462, 0.1250
17887, 0.1769
26080, 0.3337
9701, 0.2568
9703, 0.1702
28924, 0.1642
21505, 0.2878
17901, 0.1715
28925, 0.3186
1520, 1.0955
1521, 0.6866
1523, 0.4365
35753, 0.5106
9720, 0.2408
9722, 0.1513
28927, 2.0950
35754, 0.4594
1538, 0.3801
1539, 0.2562
26117, 0.2661
1542, 0.2704
1544, 0.2694
1545, 1.0244
1548, 0.6527
21874, 0.2124
9742, 0.5867
26128, 0.2363
26130, 1.2677
9747, 0.1558
26132, 0.2307
26134, 0.2295
26135, 0.2101
26140, 0.6727
13914, 0.5585
17952, 0.1612
17953, 0.1140
17955, 0.2356
9764, 0.2905
28149, 0.4310
1586, 0.1361
1587, 0.1125
1588, 0.3076
1589, 0.2995
1591, 0.4057
1592, 0.1588
1593, 0.1314
1601, 0.7508
1602, 0.2491
1603, 0.4392
1604, 0.3691
1606, 0.2849
1607, 0.8981
1608, 0.2781
21876, 0.3035
19421, 0.2360
17995, 2.1239
9804, 0.1599
1613, 0.2847
17998, 1.6406
9807, 0.1490
1617, 0.5404
26975, 0.1164
1620, 0.5535
42583, 1.9192
18020, 0.7229
9818, 0.1769
42589, 0.6578
18021, 0.7400
26208, 0.2754
18017, 1.4301
18019, 1.4883
1636, 0.3797
1637, 0.7338
1638, 0.4341
9831, 0.0984
26216, 0.1630
18025, 4.2029
18023, 0.7141
18028, 1.8422
18029, 1.5202
18032, 1.6583
22120, 0.3327
9842, 0.0848
42611, 0.4704
42612, 0.2127
1653, 1.0762
42614, 0.2680
1655, 1.1409
18040, 2.4895
1660, 3.6111
1661, 1.0490
1662, 2.0816
1663, 0.6394
30315, 1.0184
19423, 0.2726
47774, 0.2257
26251, 0.5446
1677, 0.1156
26254, 0.5624
26255, 0.2695
30318, 0.2714
1688, 0.2633
30335, 0.8193
26269, 0.1092
26271, 0.1878
26273, 0.2631
1698, 0.1106
1699, 0.2291
1700, 0.4277
1701, 0.8439
9894, 0.3445
18087, 0.1761
1704, 0.1234
1705, 0.2767
9898, 0.4158
26283, 0.2744
26284, 0.2352
18034, 1.5479
26288, 0.2731
26289, 0.0879
26290, 0.2164
26292, 0.1017
26296, 0.5949
18110, 0.2247
21561, 0.3527
25972, 0.2483
18122, 0.1645
42704, 0.2702
42705, 0.1719
1747, 4.3931
1748, 1.6095
1749, 0.6241
1750, 1.1015
1751, 0.6392
1753, 3.0499
1755, 0.8950
1756, 0.8759
1757, 0.5076
1758, 0.3752
1759, 0.2833
18144, 0.2941
30331, 0.9599
42727, 0.2968
18156, 0.2582
9965, 0.1676
42736, 0.2831
9969, 0.1531
1778, 2.7506
9971, 0.1610
1780, 0.3275
1781, 0.2839
1782, 0.3545
1783, 0.3163
9976, 0.1691
1785, 1.4170
1786, 1.6507
1787, 1.4612
1788, 0.7219
1789, 0.3138
1790, 0.5437
1791, 0.3143
9984, 0.1843
1793, 0.6759
1794, 1.1054
1795, 0.3855
1796, 0.3141
1797, 0.2778
1798, 0.3361
1799, 0.2552
1800, 0.8864
1801, 0.3328
1802, 0.6724
1803, 0.3067
1804, 0.2957
9997, 0.2660
1806, 0.2746
9999, 0.2416
1808, 0.2919
1809, 0.3693
1810, 0.3401
1811, 0.4120
1812, 0.8501
27884, 0.1258
1814, 0.9524
39897, 0.3750
1816, 0.3213
1817, 0.6640
1818, 0.4088
1819, 0.9034
1820, 1.9309
1824, 0.3645
1825, 0.3141
1826, 0.3482
3035, 0.3608
1828, 0.2799
1829, 0.3476
1830, 0.3295
1831, 0.3364
1832, 0.5271
1833, 0.3237
1834, 0.4958
1835, 0.3268
1836, 0.3180
1837, 0.4285
1838, 0.3386
1839, 0.4379
1840, 0.4378
1841, 0.9685
10034, 0.1092
1843, 2.0451
11230, 0.7479
1846, 0.3064
1847, 0.2219
10040, 0.1659
1850, 0.9293
3039, 0.3172
30346, 0.1970
1854, 0.9135
11246, 0.1737
12599, 0.1071
36183, 0.4867
26253, 0.2828
10066, 0.2044
35811, 0.1186
10081, 0.4578
10084, 0.1373
26469, 0.2553
10087, 0.2497
32616, 0.2547
34667, 0.3950
19433, 0.2843
30356, 0.2493
25120, 0.1493
44800, 0.3779
30357, 1.0749
1920, 0.3904
1921, 0.3459
1922, 0.3764
1923, 0.3084
1924, 0.3318
10117, 0.2131
1926, 0.3840
10119, 0.1187
1928, 0.3441
1929, 0.3167
1930, 0.3338
1931, 0.3126
1932, 0.3723
1933, 0.8124
1934, 0.3464
1935, 1.0111
1936, 1.6905
1937, 0.4404
1938, 1.8417
1940, 0.2425
10133, 0.1846
26519, 0.1268
18328, 0.1926
30837, 0.5187
10141, 0.5710
16709, 0.2197
1952, 0.2827
1953, 0.3332
1954, 0.3021
10147, 0.2086
1956, 0.4350
1957, 1.1997
10150, 0.2856
3057, 0.2986
1960, 0.3098
1961, 0.3409
10154, 0.1729
1963, 0.4035
1964, 0.8186
1965, 0.6530
1966, 1.0498
1968, 0.5742
31776, 0.1437
11252, 0.3934
30231, 0.2884
18366, 0.1283
3061, 0.3207
39926, 0.3430
10187, 0.1442
48076, 0.1195
42957, 0.6235
42959, 0.8823
48349, 0.2261
10195, 0.5325
42968, 0.8739
10201, 0.4890
42970, 0.0650
31164, 0.1862
42972, 0.7258
11258, 0.1354
18398, 0.1108
26277, 0.5435
10209, 0.1068
18402, 0.1047
42980, 0.4485
42981, 0.1022
42982, 0.5933
42983, 0.5688
18408, 0.2702
34793, 0.0883
18410, 0.1206
21563, 0.3276
34796, 0.2073
34798, 0.6059
39933, 0.3317
30794, 0.4911
26280, 0.1213
42994, 0.5306
18420, 0.4482
35838, 0.1467
20820, 0.3512
23551, 0.7285
26282, 0.3741
10239, 0.3941
10242, 0.1899
26627, 1.8119
26628, 1.8138
26629, 1.0212
26630, 0.8443
26631, 0.4041
26632, 0.4215
26633, 0.7708
26634, 0.3864
20823, 0.3631
10252, 0.2081
10253, 0.1343
10254, 0.1711
10255, 0.1210
26640, 0.3955
10257, 0.4209
26642, 0.3388
26643, 0.4097
26644, 0.5182
26645, 1.0686
26646, 1.0040
10264, 0.3227
10265, 0.2383
10266, 0.2046
26651, 1.3468
10268, 0.2021
10270, 0.4428
26656, 0.3866
26657, 0.3603
26658, 0.4199
26659, 0.4280
26660, 0.4195
26661, 0.8840
26662, 1.0812
