# (YYYYMMDD.frac) (YYYY-MM-DDThh:mm:ss) () () () (um) (deg)  () ()  () () (pW)  (pW)  (pW)  (pW)  (pW)  (Jy/asec^2/pW)  (Jy/asec^2/pW)  (Jy/bm/pW)  (Jy/bm/pW)  (Jy/pW)  (Jy/pW)  (")  ()
# UT   HST  Obs  Source  Mode  Filter  El  Airmass  Trans  Tau225  Tau  Flux_ap  Err_ap  Noise  Peak_obs  Peak_fit  FCFasec  FCFasec_err  FCFbeam  FCFbeam_err  FCFmatch  FCFmatch_err  FWHMmain  Error_beam
20140618.7242940  2014-06-18T07:23:00    60  URANUS  daisy        850  75  1.03  0.770  0.059  0.254  24.1184  0.0261  0.00004  0.10562  0.11030  2.5528  0.0028  545.0652  5.8265  599.4365  12.3421  13.22  0.946
20140618.7587500  2014-06-18T08:12:37    64  URANUS  daisy        850  72  1.05  0.772  0.058  0.248  23.6411  0.0303  0.00004  0.09495  0.10244  2.6045  0.0033  586.9222  6.6842  616.0721  12.2217  13.61  0.950
20140618.8015856  2014-06-18T09:14:18    71  URANUS  daisy        850  61  1.14  0.744  0.061  0.260  24.8779  0.0286  0.00004  0.10042  0.10760  2.4752  0.0028  558.8018  7.7745  620.3788  11.3031  13.43  0.950
20140619.7195023  2014-06-19T07:16:06    65  URANUS  daisy        850  75  1.03  0.798  0.052  0.219  24.1921  0.0338  0.00005  0.10151  0.10633  2.5491  0.0036  566.3044  6.4736  611.1907  13.4238  13.43  0.948
20140619.7666667  2014-06-19T08:24:01    72  URANUS  daisy        850  70  1.06  0.781  0.055  0.233  24.0406  0.0289  0.00004  0.09842  0.10435  2.5653  0.0031  577.0833  7.6170  633.2962  12.5687  13.48  0.949
20140619.8059375  2014-06-19T09:20:34    78  URANUS  daisy        850  59  1.16  0.763  0.055  0.234  24.5490  0.0243  0.00004  0.09539  0.10501  2.5123  0.0025  573.4705  7.3033  607.7296  13.0370  13.55  0.951
20140619.8434491  2014-06-19T10:14:35    84  URANUS  daisy        850  47  1.36  0.732  0.054  0.230  23.8829  0.0253  0.00004  0.09970  0.10213  2.5826  0.0027  589.6770  8.2630  660.1017  14.5832  13.39  0.949
20140621.7904167  2014-06-21T08:58:13    80  URANUS  daisy        850  62  1.13  0.556  0.117  0.521  23.4948  0.0267  0.00005  0.09181  0.09858  2.6334  0.0030  612.7653  10.3325  708.0966  14.2051  13.53  0.952
20140622.7570833  2014-06-22T08:10:13    58  URANUS  daisy        850  71  1.06  0.670  0.087  0.379  23.5696  0.0276  0.00005  0.09996  0.10626  2.6291  0.0031  569.3747  6.4210  615.4297  12.1076  13.31  0.948
20140623.6580093  2014-06-23T05:47:33    36  URANUS  daisy        850  64  1.11  0.560  0.118  0.524  24.4286  0.0281  0.00005  0.10487  0.10781  2.5403  0.0029  561.9890  6.0339  592.4571  10.5826  13.52  0.948
20140624.7501157  2014-06-24T08:00:11    49  URANUS  daisy        850  71  1.06  0.603  0.108  0.479  23.7739  0.0281  0.00005  0.10138  0.10523  2.6149  0.0031  576.7537  6.6941  609.6781  12.5763  13.42  0.948
20140625.5387616  2014-06-25T02:55:50    29  URANUS  daisy        850  27  2.17  0.429  0.089  0.391  24.5637  0.0283  0.00007  0.09486  0.10246  2.5341  0.0029  593.0565  7.1938  618.8514  15.0719  13.67  0.952
20140625.7760995  2014-06-25T08:37:36    53  URANUS  daisy        850  63  1.12  0.659  0.086  0.374  24.4609  0.0252  0.00005  0.09495  0.10099  2.5457  0.0026  601.9709  10.9761  696.0229  14.5138  13.58  0.952
20140625.8227199  2014-06-25T09:44:44    60  URANUS  daisy        850  48  1.33  0.588  0.091  0.401  23.8177  0.0245  0.00005  0.09533  0.09859  2.6147  0.0027  616.6640  9.4642  671.3959  15.9599  13.56  0.951
20140626.6712384  2014-06-26T06:06:36    71  URANUS  daisy        850  70  1.06  0.753  0.062  0.267  25.2920  0.0274  0.00004  0.11388  0.11683  2.4657  0.0027  521.0890  5.6788  570.8805  10.1921  13.11  0.945
20140626.7193866  2014-06-26T07:15:56    75  URANUS  daisy        850  75  1.03  0.756  0.063  0.271  25.4684  0.0290  0.00004  0.10464  0.11223  2.4488  0.0028  542.4565  6.9924  594.2104  10.2074  13.49  0.949
20140626.7582870  2014-06-26T08:11:57    80  URANUS  daisy        850  68  1.08  0.740  0.065  0.279  24.9071  0.0292  0.00004  0.10429  0.10781  2.5042  0.0029  564.7491  6.9736  611.7179  11.1529  13.56  0.948
20140626.8116204  2014-06-26T09:28:45    90  URANUS  daisy        850  51  1.27  0.684  0.069  0.298  24.2669  0.0266  0.00004  0.10160  0.10479  2.5705  0.0028  581.0907  6.4776  613.9286  13.3265  13.58  0.949
20140627.7172106  2014-06-27T07:12:48    65  URANUS  daisy        850  75  1.03  0.733  0.070  0.301  24.0978  0.0268  0.00004  0.10573  0.10934  2.5923  0.0029  557.6984  5.9438  601.4243  12.3046  13.29  0.946
20140627.7615509  2014-06-27T08:16:39    71  URANUS  daisy        850  66  1.09  0.710  0.072  0.313  24.7255  0.0272  0.00004  0.10021  0.10599  2.5267  0.0028  575.3527  7.4968  619.8308  12.6038  13.58  0.951
20140627.7951620  2014-06-27T09:05:03    74  URANUS  daisy        850  56  1.20  0.693  0.070  0.304  23.9920  0.0288  0.00004  0.10049  0.10380  2.6041  0.0031  587.5558  7.4808  644.3639  13.3687  13.49  0.949
20140627.8440972  2014-06-27T10:15:31    81  URANUS  daisy        850  40  1.55  0.541  0.090  0.395  21.7696  0.0321  0.00006  0.08520  0.08886  2.8702  0.0042  686.3666  10.7125  785.0513  14.6588  13.84  0.952
20140628.7738079  2014-06-28T08:34:18    57  URANUS  daisy        850  61  1.13  0.747  0.060  0.258  27.2208  0.0300  0.00005  0.11588  0.12294  2.2989  0.0025  496.8666  5.1419  533.9557  10.1601  13.28  0.947
20140628.8179861  2014-06-28T09:37:55    64  URANUS  daisy        850  47  1.35  0.701  0.062  0.264  24.5647  0.0265  0.00004  0.10075  0.10608  2.5477  0.0027  575.8578  7.7112  638.6599  11.9440  13.40  0.949
20140629.7207755  2014-06-29T07:17:56    75  URANUS  daisy        850  74  1.04  0.761  0.061  0.263  24.8376  0.0277  0.00004  0.11032  0.11619  2.5235  0.0028  526.5355  5.1167  565.8115  10.8785  13.08  0.945
20140629.7616667  2014-06-29T08:16:49    81  URANUS  daisy        850  64  1.10  0.754  0.060  0.256  25.1883  0.0298  0.00004  0.11126  0.11308  2.4885  0.0029  541.0391  5.8924  574.6173  10.8909  13.37  0.947
20140629.8012384  2014-06-29T09:13:48    86  URANUS  daisy        850  52  1.26  0.714  0.062  0.267  23.6236  0.0315  0.00004  0.09351  0.10129  2.6535  0.0035  604.0813  9.2400  681.9229  11.8558  13.60  0.951
20140629.8401042  2014-06-29T10:09:46    91  URANUS  daisy        850  39  1.57  0.634  0.067  0.290  23.7544  0.0272  0.00005  0.09519  0.10265  2.6391  0.0030  596.0810  7.1286  635.6740  14.2561  13.43  0.950
20140630.7209838  2014-06-30T07:18:14    53  URANUS  daisy        850  74  1.04  0.772  0.058  0.249  24.8583  0.0300  0.00004  0.10147  0.10840  2.5256  0.0030  565.2868  7.4821  624.9220  10.1327  13.46  0.950
20140630.7610648  2014-06-30T08:15:57    58  URANUS  daisy        850  64  1.11  0.758  0.058  0.249  24.9009  0.0289  0.00004  0.09892  0.10728  2.5214  0.0029  571.1970  9.1990  672.0868  11.8535  13.49  0.951
20140630.8002315  2014-06-30T09:12:21    64  URANUS  daisy        850  51  1.27  0.716  0.061  0.263  24.8355  0.0266  0.00004  0.09997  0.10419  2.5282  0.0027  588.1709  9.4587  679.5247  13.2626  13.47  0.951
20140630.8365741  2014-06-30T10:04:41    70  URANUS  daisy        850  39  1.56  0.642  0.066  0.284  21.9916  0.0304  0.00005  0.08665  0.09194  2.8553  0.0039  666.5748  12.2032  813.8208  16.0452  13.54  0.952
20140701.7152315  2014-07-01T07:09:57    74  URANUS  daisy        850  74  1.04  0.713  0.075  0.326  23.8633  0.0303  0.00004  0.09951  0.10735  2.6352  0.0034  571.7400  6.0795  610.0865  11.4958  13.35  0.948
20140701.7558449  2014-07-01T08:08:26    80  URANUS  daisy        850  64  1.10  0.668  0.084  0.366  24.3281  0.0283  0.00005  0.10052  0.10873  2.5850  0.0030  564.5195  6.4391  610.3366  11.1835  13.35  0.948
20140701.7991551  2014-07-01T09:10:48    86  URANUS  daisy        850  51  1.28  0.517  0.116  0.516  22.6380  0.0375  0.00007  0.08953  0.09358  2.7783  0.0046  655.9269  8.6614  721.1593  11.3890  13.96  0.952
20140701.8237963  2014-07-01T09:46:17    92  URANUS  daisy        850  43  1.46  0.455  0.122  0.540  21.8515  0.0347  0.00008  0.08236  0.08713  2.8784  0.0046  704.5042  11.5944  802.6219  16.7206  14.10  0.954
20140702.7261806  2014-07-02T07:25:43    68  URANUS  daisy        850  72  1.05  0.727  0.070  0.304  24.2026  0.0269  0.00004  0.09757  0.10360  2.6027  0.0029  593.3873  7.8280  626.0461  13.2174  13.65  0.951
20140702.7697685  2014-07-02T08:28:29    74  URANUS  daisy        850  59  1.15  0.702  0.071  0.307  24.0241  0.0298  0.00005  0.09246  0.10066  2.6222  0.0032  610.7789  9.3428  667.2603  13.8472  13.81  0.953
20140702.8209375  2014-07-02T09:42:10    83  URANUS  daisy        850  43  1.46  0.598  0.081  0.353  20.7185  0.0330  0.00005  0.07267  0.08281  3.0408  0.0048  742.4769  17.1243  925.7454  17.6021  14.08  0.956
20140704.7085069  2014-07-04T07:00:16    60  URANUS  daisy        850  74  1.04  0.741  0.067  0.288  24.0065  0.0297  0.00004  0.10397  0.11082  2.6326  0.0033  556.5557  5.8316  600.4113  11.2685  13.19  0.946
20140704.7779167  2014-07-04T08:40:13    67  URANUS  daisy        850  55  1.21  0.727  0.062  0.263  25.0015  0.0312  0.00004  0.10259  0.10704  2.5282  0.0032  576.2530  6.3591  596.0638  12.3382  13.63  0.949
20140704.8231829  2014-07-04T09:45:24    74  URANUS  daisy        850  40  1.53  0.684  0.058  0.248  24.3862  0.0269  0.00004  0.10164  0.10713  2.5922  0.0029  575.8113  6.4576  614.9058  12.6564  13.37  0.948
20140705.6065394  2014-07-05T04:33:26    47  URANUS  daisy        850  58  1.17  0.732  0.062  0.266  25.2713  0.0323  0.00004  0.10784  0.11278  2.5047  0.0032  547.6899  5.6359  563.4625  10.9442  13.35  0.947
20140705.6992361  2014-07-05T06:46:55    58  URANUS  daisy        850  75  1.03  0.762  0.062  0.263  24.9745  0.0299  0.00004  0.10691  0.11328  2.5348  0.0030  545.3552  6.6389  601.4528  9.4192  13.31  0.948
20140705.7454745  2014-07-05T07:53:30    66  URANUS  daisy        850  64  1.10  0.746  0.062  0.266  26.1179  0.0281  0.00004  0.11054  0.11485  2.4240  0.0026  537.9105  6.6789  584.7666  11.3155  13.48  0.948
20140705.7846759  2014-07-05T08:49:57    71  URANUS  daisy        850  52  1.26  0.717  0.062  0.264  20.2548  0.0229  0.00004  0.08100  0.08550  3.1259  0.0035  722.5878  9.4805  762.0214  16.7192  13.63  0.951
20140705.8268519  2014-07-05T09:50:41    77  URANUS  daisy        850  38  1.60  0.666  0.060  0.254  23.4400  0.0302  0.00005  0.09485  0.09941  2.7013  0.0035  621.5456  10.1617  724.5574  14.1981  13.50  0.951
20140706.6091667  2014-07-06T04:37:13    45  URANUS  daisy        850  60  1.15  0.715  0.068  0.292  25.1291  0.0284  0.00004  0.10047  0.10770  2.5231  0.0029  574.4317  6.9874  593.4950  10.9290  13.73  0.951
20140706.6943866  2014-07-06T06:39:56    56  URANUS  daisy        850  75  1.03  0.747  0.066  0.282  25.5919  0.0305  0.00004  0.10672  0.11365  2.4778  0.0030  544.4579  6.5726  583.5417  10.6895  13.44  0.949
20140706.7390278  2014-07-06T07:44:13    61  URANUS  daisy        850  65  1.10  0.745  0.063  0.268  25.4881  0.0307  0.00004  0.10580  0.10841  2.4881  0.0030  570.7914  8.3660  628.2097  10.9158  13.68  0.949
20140706.7778356  2014-07-06T08:40:06    66  URANUS  daisy        850  54  1.24  0.721  0.062  0.264  25.4456  0.0264  0.00004  0.09992  0.10712  2.4924  0.0026  577.7143  9.5780  649.2332  12.9062  13.62  0.952
20140706.8201505  2014-07-06T09:41:02    73  URANUS  daisy        850  40  1.55  0.672  0.060  0.255  24.4578  0.0257  0.00005  0.09649  0.10333  2.5933  0.0027  598.9327  10.3256  684.9462  14.1616  13.45  0.951
20140707.7392824  2014-07-07T07:44:35    42  URANUS  daisy        850  65  1.10  0.679  0.081  0.352  24.4039  0.0266  0.00005  0.09609  0.10220  2.6030  0.0028  606.5105  9.8195  675.2210  13.4587  13.73  0.952
20140707.7789468  2014-07-07T08:41:42    47  URANUS  daisy        850  52  1.26  0.648  0.079  0.345  25.0316  0.0250  0.00005  0.09691  0.10324  2.5379  0.0025  600.4090  10.7811  683.3289  13.7968  13.70  0.953
20140707.8266782  2014-07-07T09:50:26    55  URANUS  daisy        850  36  1.66  0.539  0.085  0.371  24.1507  0.0282  0.00006  0.09568  0.10080  2.6307  0.0031  614.9700  9.3625  673.0050  15.8370  13.61  0.952
20140708.5213542  2014-07-08T02:30:46    38  URANUS  daisy        850  33  1.81  0.475  0.093  0.410  23.8882  0.0281  0.00007  0.09889  0.10338  2.6627  0.0031  600.3199  5.5428  607.0991  13.0731  13.62  0.949
20140708.6788194  2014-07-08T06:17:31    60  URANUS  daisy        850  76  1.03  0.645  0.097  0.426  24.0407  0.0274  0.00005  0.09971  0.10486  2.6465  0.0030  592.0372  7.9108  649.5467  13.9801  13.48  0.949
20140711.7985880  2014-07-11T09:09:59    30  URANUS  daisy        850  42  1.47  0.374  0.149  0.667  25.5877  0.0295  0.00008  0.10508  0.10846  2.4996  0.0029  575.3162  6.2738  594.1040  14.0047  13.61  0.949
20140712.7695255  2014-07-12T08:28:09    75  URANUS  daisy        850  51  1.28  0.548  0.106  0.470  25.0586  0.0261  0.00006  0.10061  0.10655  2.5566  0.0027  586.5693  7.4133  623.3398  13.5838  13.51  0.950
20140717.6954051  2014-07-17T06:41:24    61  URANUS  daisy        850  69  1.07  0.529  0.134  0.598  24.7369  0.0286  0.00006  0.10177  0.10705  2.6114  0.0030  588.5384  7.3883  632.0564  12.4111  13.57  0.950
20140718.7173727  2014-07-18T07:13:02    34  URANUS  daisy        850  62  1.12  0.478  0.147  0.657  25.6489  0.0264  0.00006  0.10436  0.10928  2.5228  0.0026  577.5188  7.7252  615.7425  12.4128  13.59  0.950
20140718.7660301  2014-07-18T08:23:06    41  URANUS  daisy        850  47  1.36  0.407  0.148  0.661  23.3539  0.0252  0.00008  0.08114  0.09016  2.7710  0.0030  700.0376  16.2239  834.1600  20.8854  13.94  0.956
20140718.8140394  2014-07-18T09:32:14    48  URANUS  daisy        850  31  1.93  0.280  0.147  0.658  22.7801  0.0301  0.00011  0.07521  0.08295  2.8410  0.0038  760.9515  26.0418  961.3057  29.4698  14.04  0.960
20140725.6153125  2014-07-25T04:46:04    21  URANUS  daisy        850  74  1.04  0.620  0.105  0.462  25.3749  0.0286  0.00005  0.10461  0.11104  2.5794  0.0029  574.7136  6.7387  608.2709  12.4310  13.55  0.949
20140725.6922454  2014-07-25T06:36:51    32  URANUS  daisy        850  64  1.11  0.595  0.106  0.468  25.2099  0.0294  0.00005  0.10221  0.10740  2.5966  0.0030  594.2434  7.2290  630.0912  12.7928  13.66  0.950
20140727.7607176  2014-07-27T08:15:27    68  URANUS  daisy        850  40  1.53  0.552  0.089  0.388  25.5709  0.0286  0.00006  0.10467  0.10886  2.5686  0.0029  588.2460  7.1765  634.0644  12.5104  13.57  0.950
20140729.7029398  2014-07-29T06:52:15    53  URANUS  daisy        850  57  1.18  0.690  0.073  0.314  25.7015  0.0306  0.00004  0.10711  0.11293  2.5635  0.0031  568.7805  6.2037  590.5169  12.4731  13.53  0.948
20140729.7532870  2014-07-29T08:04:45    63  URANUS  daisy        850  41  1.51  0.627  0.072  0.310  25.6133  0.0319  0.00005  0.10647  0.10808  2.5726  0.0032  594.3500  7.5938  622.6118  13.2074  13.61  0.949
20140730.5180440  2014-07-30T02:26:00    35  URANUS  daisy        850  52  1.26  0.674  0.072  0.312  26.2742  0.0390  0.00008  0.11364  0.11575  2.5109  0.0037  555.5959  5.4371  571.0540  12.0744  13.45  0.947
20140730.7224884  2014-07-30T07:20:24    62  URANUS  daisy        850  50  1.29  0.708  0.062  0.268  25.7658  0.0324  0.00004  0.10945  0.11298  2.5613  0.0032  569.4221  6.0356  593.9038  10.7174  13.51  0.948
20140730.7616782  2014-07-30T08:16:50    67  URANUS  daisy        850  37  1.63  0.630  0.066  0.283  26.0221  0.0293  0.00005  0.10939  0.11471  2.5362  0.0029  560.8678  5.9797  582.9372  11.1267  13.45  0.948
20140731.7517361  2014-07-31T08:02:31    20  URANUS  daisy        850  40  1.55  0.238  0.205  0.925  26.1466  0.0411  0.00014  0.10096  0.10649  2.5281  0.0040  605.0759  7.3554  616.8496  14.6740  13.90  0.952
20140803.6858218  2014-08-03T06:27:36     9  URANUS  daisy        850  58  1.17  0.463  0.148  0.660  25.0405  0.0307  0.00007  0.10774  0.11062  2.6520  0.0033  585.1123  5.3875  603.1735  12.5277  13.51  0.947
20140804.6804861  2014-08-04T06:19:55    40  URANUS  daisy        850  59  1.16  0.595  0.102  0.448  26.3353  0.0272  0.00005  0.10966  0.11694  2.5255  0.0026  554.3304  5.9393  578.7855  12.0975  13.39  0.948
20140805.5830093  2014-08-05T03:59:33    39  URANUS  daisy        850  74  1.04  0.647  0.096  0.420  25.4212  0.0273  0.00005  0.10589  0.11342  2.6199  0.0028  572.2775  7.7882  616.3381  13.5775  13.40  0.948
20140806.6178588  2014-08-06T04:49:44    65  URANUS  daisy        850  74  1.04  0.796  0.052  0.220  26.0634  0.0278  0.00004  0.11778  0.12167  2.5594  0.0027  534.3265  5.6284  583.7183  10.6776  13.09  0.945
20140806.6946644  2014-08-06T06:40:20    76  URANUS  daisy        850  53  1.24  0.773  0.049  0.207  27.4330  0.0315  0.00004  0.11416  0.12070  2.4319  0.0028  538.6719  5.5649  565.4276  9.9525  13.42  0.948
20140806.7605787  2014-08-06T08:15:15    86  URANUS  daisy        850  31  1.91  0.681  0.048  0.202  25.8414  0.0295  0.00004  0.10894  0.11539  2.5819  0.0029  563.4857  6.5197  621.3611  12.2683  13.35  0.948
20140812.5622801  2014-08-12T03:29:42    11  URANUS  daisy        850  74  1.04  0.386  0.204  0.917  25.4832  0.0332  0.00009  0.10567  0.11400  2.6407  0.0034  575.1718  5.7438  602.7668  12.6582  13.49  0.948
20140813.6474306  2014-08-13T05:32:19    60  URANUS  daisy        850  62  1.13  0.757  0.058  0.246  26.5238  0.0295  0.00004  0.11426  0.12005  2.5411  0.0028  546.9845  6.7684  592.5470  10.8670  13.28  0.947
20140815.6892940  2014-08-15T06:32:36    56  URANUS  daisy        850  47  1.36  0.743  0.052  0.218  27.5497  0.0302  0.00004  0.11364  0.11925  2.4534  0.0027  552.1950  6.2134  575.4397  10.9347  13.63  0.949
20140816.5248032  2014-08-16T02:35:44    34  URANUS  daisy        850  68  1.07  0.755  0.061  0.261  26.1231  0.0310  0.00005  0.11470  0.11964  2.5904  0.0031  550.9830  5.5665  583.2655  11.7005  13.29  0.946
20140816.6515394  2014-08-16T05:38:14    46  URANUS  daisy        850  58  1.17  0.739  0.060  0.257  26.5713  0.0322  0.00004  0.11459  0.11858  2.5471  0.0031  556.0314  6.0188  597.7852  9.9815  13.35  0.947
20140816.7096644  2014-08-16T07:01:56    55  URANUS  daisy        850  39  1.58  0.686  0.056  0.239  25.3533  0.0321  0.00005  0.10910  0.11391  2.6697  0.0034  578.8799  5.8640  624.8191  10.7531  13.40  0.947
20140817.6869676  2014-08-17T06:29:15    53  URANUS  daisy        850  46  1.39  0.729  0.054  0.227  27.0214  0.0279  0.00004  0.11722  0.12041  2.5082  0.0026  548.3041  5.2924  572.8897  10.9997  13.41  0.947
20140818.6861690  2014-08-18T06:28:06    56  URANUS  daisy        850  45  1.41  0.750  0.049  0.204  26.9540  0.0298  0.00004  0.10557  0.11515  2.5179  0.0028  574.0973  9.0305  617.5828  12.0670  13.56  0.951
20140819.6782870  2014-08-19T06:16:45    56  URANUS  daisy        850  47  1.37  0.777  0.044  0.184  27.0360  0.0306  0.00004  0.11386  0.12312  2.5135  0.0028  537.6531  7.5367  587.8761  10.1549  13.27  0.948
20140820.6841898  2014-08-20T06:25:15    82  URANUS  daisy        850  44  1.44  0.753  0.047  0.198  27.0150  0.0296  0.00004  0.11783  0.12141  2.5187  0.0028  545.9238  6.0363  583.1240  10.6567  13.36  0.947
20140822.6779977  2014-08-22T06:16:20    61  URANUS  daisy        850  44  1.43  0.758  0.046  0.194  26.8978  0.0328  0.00005  0.11018  0.11613  2.5361  0.0031  572.1261  7.3505  617.4475  12.6384  13.41  0.949
20140823.5999421  2014-08-23T04:23:56    59  URANUS  daisy        850  67  1.08  0.640  0.094  0.414  26.2098  0.0306  0.00005  0.10725  0.11138  2.6057  0.0030  597.2108  7.3147  636.9009  10.3520  13.83  0.950
20140823.6935995  2014-08-23T06:38:48    69  URANUS  daisy        850  38  1.62  0.547  0.085  0.373  25.9473  0.0292  0.00006  0.10897  0.11263  2.6324  0.0030  590.6402  5.7980  611.4307  13.5050  13.52  0.948
20140824.6799190  2014-08-24T06:19:06    68  URANUS  daisy        850  41  1.50  0.649  0.067  0.289  26.2015  0.0334  0.00005  0.11031  0.11572  2.6100  0.0033  575.5622  5.9050  604.5248  11.5343  13.47  0.948
20140825.5562384  2014-08-25T03:21:00    27  URANUS  daisy        850  75  1.03  0.750  0.065  0.278  26.4669  0.0325  0.00004  0.11374  0.11989  2.5865  0.0032  556.0719  6.3697  604.4905  10.5119  13.25  0.947
20140825.7033218  2014-08-25T06:52:48    41  URANUS  daisy        850  33  1.83  0.602  0.064  0.277  25.9513  0.0308  0.00005  0.10491  0.11176  2.6384  0.0031  596.6696  6.2717  621.3847  12.5101  13.59  0.950
20140826.5621991  2014-08-26T03:29:35    48  URANUS  daisy        850  74  1.04  0.688  0.083  0.360  25.8144  0.0300  0.00004  0.10595  0.11247  2.6550  0.0031  593.4426  6.8421  627.3026  10.8618  13.56  0.949
20140826.6996644  2014-08-26T06:47:32    63  URANUS  daisy        850  33  1.82  0.533  0.079  0.346  26.2345  0.0312  0.00006  0.11070  0.11426  2.6129  0.0031  584.2329  5.6459  602.6235  12.5898  13.54  0.949
20140827.4192824  2014-08-27T00:03:47    31  URANUS  daisy        850  45  1.41  0.401  0.145  0.648  29.3418  0.0425  0.00009  0.12197  0.12542  2.3382  0.0034  532.7214  5.6806  560.9044  9.7522  13.80  0.949
20140827.6846181  2014-08-27T06:25:52    34  URANUS  daisy        850  37  1.64  0.332  0.150  0.671  29.3781  0.0384  0.00010  0.11739  0.12288  2.3360  0.0031  543.8756  5.6051  553.1048  11.5021  13.81  0.951
20140828.7052083  2014-08-28T06:55:31    79  URANUS  daisy        850  29  2.03  0.576  0.064  0.272  26.6421  0.0306  0.00005  0.11208  0.11385  2.5789  0.0030  587.6662  6.3300  614.2037  11.4898  13.67  0.948
20140829.4460069  2014-08-29T00:42:16    34  URANUS  daisy        850  55  1.21  0.720  0.063  0.272  28.9920  0.0348  0.00005  0.12668  0.12739  2.3718  0.0028  525.6379  5.8712  553.3965  10.4324  13.52  0.946
20140829.5553588  2014-08-29T03:19:44    38  URANUS  daisy        850  74  1.04  0.744  0.066  0.284  28.3954  0.0301  0.00004  0.11759  0.12690  2.4219  0.0026  527.7143  6.2627  559.4358  11.2747  13.47  0.948
20140829.6938773  2014-08-29T06:39:12    51  URANUS  daisy        850  32  1.86  0.569  0.070  0.303  28.3249  0.0330  0.00006  0.11924  0.12357  2.4283  0.0028  542.0368  5.5055  556.0159  11.4631  13.54  0.948
20140830.5198148  2014-08-30T02:28:33    39  URANUS  daisy        850  75  1.03  0.741  0.067  0.291  28.2085  0.0349  0.00004  0.11474  0.12384  2.4405  0.0030  541.3214  7.1622  594.7427  12.2297  13.52  0.949
20140830.6255787  2014-08-30T05:00:51    51  URANUS  daisy        850  54  1.23  0.736  0.058  0.249  28.4336  0.0319  0.00004  0.11513  0.12325  2.4215  0.0027  543.9666  7.1141  596.2942  10.7402  13.40  0.950
20140830.7103356  2014-08-30T07:02:54    63  URANUS  daisy        850  25  2.29  0.569  0.058  0.246  29.8415  0.0341  0.00006  0.12154  0.13009  2.3075  0.0026  515.4206  6.0128  548.9553  11.2862  13.46  0.949
20140831.4951736  2014-08-31T01:53:04     8  URANUS  daisy        850  71  1.05  0.747  0.064  0.276  27.3588  0.0313  0.00004  0.11996  0.12526  2.5189  0.0029  535.7085  6.2989  583.6172  11.0136  13.20  0.946
20140831.5683681  2014-08-31T03:38:28    17  URANUS  daisy        850  70  1.06  0.733  0.068  0.293  27.0517  0.0328  0.00005  0.11636  0.12163  2.5477  0.0031  551.7498  6.6647  594.0517  11.2385  13.33  0.948
20140831.6422801  2014-08-31T05:24:54    26  URANUS  daisy        850  47  1.35  0.655  0.073  0.314  27.5767  0.0335  0.00005  0.11332  0.11957  2.4994  0.0030  561.2829  6.4546  590.0510  10.3319  13.51  0.949
20140902.5449074  2014-09-02T03:04:41    41  URANUS  daisy        850  73  1.04  0.648  0.095  0.417  26.7310  0.0330  0.00005  0.11497  0.12138  2.5835  0.0032  553.9963  5.8109  589.3525  11.8166  13.29  0.947
20140902.6866435  2014-09-02T06:28:47    54  URANUS  daisy        850  31  1.94  0.482  0.086  0.377  27.6024  0.0329  0.00007  0.11699  0.12070  2.5023  0.0030  557.1938  5.8152  580.8730  12.8278  13.51  0.948
20140903.4113542  2014-09-02T23:52:22    30  URANUS  daisy        850  49  1.32  0.592  0.090  0.396  28.3411  0.0289  0.00005  0.11841  0.12613  2.4389  0.0025  533.5683  5.1528  551.9499  11.5193  13.42  0.948
20140903.6778125  2014-09-03T06:16:04    56  URANUS  daisy        850  33  1.83  0.552  0.075  0.325  27.4697  0.0327  0.00006  0.11954  0.12037  2.5169  0.0030  559.2550  5.6683  581.4051  11.7308  13.54  0.947
20140904.4924421  2014-09-04T01:49:08    44  URANUS  daisy        850  73  1.04  0.579  0.118  0.523  27.8928  0.0328  0.00006  0.12479  0.12650  2.4807  0.0029  532.5428  5.1399  559.5156  11.3491  13.32  0.945
20140905.5716898  2014-09-05T03:43:15    47  URANUS  daisy        850  65  1.10  0.609  0.103  0.452  26.5700  0.0320  0.00005  0.11413  0.11629  2.6068  0.0031  579.8937  7.7618  620.3478  11.4742  13.49  0.949
20140905.6779630  2014-09-05T06:16:17    57  URANUS  daisy        850  31  1.93  0.433  0.099  0.433  27.6075  0.0336  0.00008  0.11195  0.11586  2.5091  0.0031  582.0671  8.0558  618.9548  13.3648  13.72  0.950
20140906.5218403  2014-09-06T02:31:28    41  URANUS  daisy        850  75  1.03  0.628  0.102  0.450  25.8229  0.0372  0.00005  0.11402  0.11556  2.6846  0.0039  584.0304  7.3708  645.1657  11.8229  13.34  0.946
20140906.6867940  2014-09-06T06:29:00    62  URANUS  daisy        850  27  2.19  0.370  0.103  0.455  28.5856  0.0343  0.00009  0.11431  0.12194  2.4255  0.0029  553.5552  5.4076  564.5764  12.1295  13.71  0.950
20140907.4558218  2014-09-07T00:56:24    44  URANUS  daisy        850  66  1.09  0.639  0.094  0.410  28.0648  0.0297  0.00005  0.12188  0.12571  2.4722  0.0026  537.3208  6.6270  575.3554  11.5507  13.30  0.946
20140907.5593171  2014-09-07T03:25:26    54  URANUS  daisy        850  67  1.08  0.654  0.089  0.392  26.8479  0.0355  0.00005  0.10901  0.11622  2.5845  0.0034  581.2233  7.5695  614.4662  11.3473  13.47  0.949
